Feature,Importance
SIG_31,3
SIG_33,2
SIG_11,2
SIG_6,2
SIG_15,2
SIG_1,2
SIG_27,2
SIG_35,1
SIG_25,1
SIG_23,1
SIG_2,1
SIG_29,1
SIG_26,1
SIG_36,1
SIG_20,1
SIG_32,1
SIG_8,1
SIG_34,1
SIG_37,1
SIG_38,1
SIG_10,1
SIG_19,1
SIG_30,0
SIG_14,0
SIG_9,0
SIG_17,0
SIG_5,0
SIG_22,0
SIG_28,0
SIG_13,0
SIG_18,0
SIG_16,0
SIG_4,0
SIG_24,0
SIG_21,0
SIG_7,0
